#TYPE=EXTENDED
#OBSCODE=HRHA
#SOFTWARE=VPhot 3.1
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
M15-S1614,2455478.64684,0.399,0.025,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1613,2455478.64684,0.501,0.019,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1522,2455478.64684,1.902,0.055,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1996,2455478.64684,-1.142,0.037,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1995,2455478.64684,0.218,0.018,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S182,2455478.64684,-1.713,0.060,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S225,2455478.64684,-1.941,0.080,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S2207,2455478.64684,-1.178,0.018,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1991,2455478.64684,1.504,0.079,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S206,2455478.64684,-0.531,0.096,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S205,2455478.64684,-1.996,0.024,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S2203,2455478.64684,-0.944,0.024,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S189,2455478.64684,-0.463,0.078,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1083,2455478.64684,0.347,0.024,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S426,2455478.64684,-0.545,0.131,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S405,2455478.64684,-1.167,0.045,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S387,2455478.64684,0.816,0.046,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1983,2455478.64684,-0.224,0.116,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S187,2455478.64684,-2.038,0.020,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S710,2455478.64684,-1.907,0.004,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S423,2455478.64684,-1.395,0.043,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S677,2455478.64684,-0.624,0.006,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1359,2455478.64684,-1.623,0.033,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1357,2455478.64684,-1.942,0.118,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1354,2455478.64684,-1.534,0.056,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1733,2455478.64684,0.472,0.025,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1351,2455478.64684,-1.678,0.144,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S1350,2455478.64684,-1.647,0.032,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S217,2455478.64684,-1.475,0.058,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S2025,2455478.64684,0.185,0.044,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-S153,2455478.64684,-2.165,0.055,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
M15-AC307,2455478.64684,-2.688,0.144,SG,NO,ABS,M15-S1747,-4.141,M15-S1783,-3.881,1.06895,0,110115,NGC7078 K28 Sloan G final 24 images
