#TYPE=EXTENDED
#OBSCODE=HRHA
#SOFTWARE=VPhot 3.1
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AMASS,GROUP,CHART,NOTES
M15-S1614,2455499.67436,0.379,0.022,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1613,2455499.67436,0.486,0.017,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1522,2455499.67436,2.049,0.056,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1996,2455499.67436,-1.220,0.034,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1995,2455499.67436,0.216,0.015,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S182,2455499.67436,-1.699,0.063,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S225,2455499.67436,-1.917,0.088,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S2207,2455499.67436,-1.204,0.017,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1991,2455499.67436,1.403,0.069,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S206,2455499.67436,-0.667,0.086,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S205,2455499.67436,-2.045,0.024,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S2203,2455499.67436,-1.036,0.022,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S189,2455499.67436,-0.678,0.061,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1083,2455499.67436,0.340,0.022,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S426,2455499.67436,0.662,0.393,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S405,2455499.67436,-1.200,0.041,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S387,2455499.67436,0.737,0.041,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S1983,2455499.67436,-0.294,0.113,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S187,2455499.67436,-2.054,0.020,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S710,2455499.67436,-1.913,0.004,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
M15-S423,2455499.67436,-1.466,0.046,SG,NO,ABS,M15-S1747,-4.256,M15-S1783,-4.033,1.23324,0,110114,NGC7078 K28 Sloan G first 23 images
